title,year,genre,country
Dorothea’s Rache,1974,Cult,FRANCE
Kanojo to kare,1963,Drama,JAPAN
For Ladies Only,1981,TV Movie,USA
Foster & Laurie,1975,TV Movie,USA
Specijalno vaspitanje,1977,Drama,YUGOSLAVIA
Mille bolle blu,1993,Comedy,ITALY
Bástyasétány hetvennégy,1974,Drama,HUNGARY
City Out of Wilderness,1974,Documentary,USA
Swiss Family Robinson: Lost in the Jungle,1958,Adventure,USA
Image of Death,1978,Thriller,AUSTRALIA
Going Undercover,1985,Comedy,NORWAY
Adieu bipède,1987,Animation,CANADA
Mario and the Mob,1992,TV Movie,USA
Wide Angle Saxon,1975,Experimental,USA
Kings of Ads 001 + 002 (1,1991,Documentary,FRANCE
Ginza 24 chou,1955,Drama,JAPAN
Szindbád,1971,Drama,HUNGARY
A Idade da Terra,1980,Experimental,BRAZIL
Devil’s Squadron,1936,Action,USA
A Night at Earl Carroll’s,1940,Musical,USA
Les scélérats,1960,Film Noir,FRANCE
Harry’s War,1981,Comedy,USA
The Case of Marcel Duchamp,1984,Documentary,UK
Future Remembrance: Photography and Image Arts in Ghana,1998,Documentary,GERMANY
The Heartbreak Kid,1972,Comedy,USA
Trzecia część nocy,1971,Drama,POLAND
Schachnovelle,1960,Drama,WEST
Double messieurs,1986,Comedy,FRANCE
Flight to Berlin,1984,Thriller,UK
Hotel,2004,Horror,AUSTRIA
Caxambu!,1967,Adventure,BRAZIL
Wild Iris,2001,TV Movie,USA
Trampa Infernal,1989,Horror,MEXICO
Maboule,1969,Animation,CANADA
Exterior Night,1993,Short,USA
Smithy,1946,Adventure,AUSTRALIA
Samoa,1956,Documentary,USA
The Numbers Start with the River,1971,Documentary,USA
Eyewitness,1999,Documentary,USA
"Sticky My Fingers, Fleet My Feet",1970,Short,USA
When She Says No,1984,TV Movie,USA
Istanbul,1989,Thriller,SWEDEN
Volpone,1941,Comedy,FRANCE
"Good Luck, Mr. Yates",1943,Drama,USA
Wildrose,1984,Drama,USA
Luigi’s Ladies,1989,Comedy,AUSTRALIA
Brainwash,1981,Thriller,MEXICO
Tsuitô no zawameki,1988,Cult,JAPAN
Verna USO Girl,1978,Biography,USA
The Suicide’s Wife,1979,TV Movie,USA
"Hahó, Öcsi!",1971,Family,HUNGARY
The Boys of Buchenwald,2002,Documentary,CANADA
Chasing Dreams,1982,Drama,USA
Work Experience,1989,Short,UK
Beyond Fear,1997,TV Movie,UK
Berkeley Square,1933,Fantasy,USA
The Return of Spinal Tap,1992,Music,USA
Death of a Soldier,1986,Thriller,AUSTRALIA
Billy Galvin,1986,Drama,USA
Eyewitness,1981,Neo-Noir,USA
Signé Charlotte,1985,Drama,FRANCE
To vlemma tou Odyssea,1995,Drama,ALBANIA
You hua hao hao shuo,1997,Comedy,CHINA
Zheng yue shi wu zhi yi sheng yi shi,1994,Action,HONG
Krynytsya dlya sprahlykh,1965,Drama,USSR
Céleste,1980,Biography,WEST
Los olvidados,1950,Drama,MEXICO
Shoeshine,1987,Short,USA
Genkai-nada,1976,Drama,JAPAN
Inside Edge,1992,Action,MEXICO
Warszawa. Année 5703,1992,Drama,FRANCE
J.F.K.: Reckless Youth,1993,Biography,CANADA
Mrs. Fitzherbert,1947,Drama,UK
The Daredevil,1972,Action,USA
Danielle Cable: Eyewitness,2003,TV Movie,UK
Enslavement: The True Story of Fanny Kimble,2000,TV Movie,USA
Wo ai chu fang,1997,Drama,HONG
Uncle Vanya,1957,Drama,USA
It’s Hard to be Good,1948,Comedy,UK
The Plutonium Incident,1980,TV Movie,USA
Trouble,1993,Drama,GERMANY
Shimmer,1993,TV Movie,USA
Johnny One-Eye,1950,Film Noir,USA
Nichols and May: Take Two,1996,Documentary,USA
Ordet,1943,Drama,SWEDEN
Ich bin meine eigene Frau,1992,Biography,GERMANY
Loser Love,1999,Erotic,CANADA
Jonas in the Desert,1994,Documentary,GERMANY
Death and the Compass,1992,Sci-Fi,JAPAN
Cab to Canada,1998,TV Movie,USA
The Brylcreem Boys,1998,Drama,UK
Associations,1975,Experimental,UK
La cosa,1990,Documentary,ITALY
Big Blonde,1980,Theatre,USA
Police State,1987,Experimental,USA
Mon cher sujet,1988,Drama,FRANCE
Tulips,1981,Comedy,USA.
Devil on Horseback,1954,Drama,UK
Child’s Cry,1986,TV Movie,USA
