title,year,genre,country
Ashes and Embers,1982,Drama,USA
Prince Jack,1984,Drama,USA
The Hard Part Begins,1973,Drama,CANADA
Bridge to Nowhere,1986,Horror,NEW
The Comeback Trail,1982,Comedy,USA
"Tramp, Tramp, Tramp!",1942,Comedy,USA
Strawberry Roan,1945,Drama,UK
White Mama,1980,TV Movie,USA
The First Circle,1973,Drama,DENMARK
The Great White Hope,1970,Drama,USA
Rebus (1968) [Engli,1968,Eurospy,ARGENTINA
Il tigre (1967) [Engli,1967,Comedy,ITALY
"Robert Zemeckis on Smoking, Drinking and Drugging in the 20th Century: In Pursuit of Happiness",1999,Documentary,USA
Ikonostasat,1969,Drama,BULGARIA
Interval,1973,Drama,MEXICO
The Girl on the Pier,1953,Drama,UK
King of Alcatraz,1938,Drama,USA
Oh! Calcutta!,1972,Erotic,USA
Küzdők,1977,Animation,HUNGARY
Sisyphus,1974,Animation,HUNGARY
Le voyou,1970,Thriller,FRANCE
Oi kynigoi,1977,Drama,GREECE
Simon and Garfunkel: Songs of America,1969,Television,USA
Cma,1980,Drama,POLAND
Aloïse,1975,Biography,FRANCE
Omar Gatlato,1976,Comedy,ALGERIA
Why Korea?,1951,Documentary,USA
Aunt Sally,1934,Comedy,UK
The Way of All Flesh,1940,Drama,USA
Rubicon,1997,Animation,GERMANY
Hypnos,2003,Short,HUNGARY
"Keep It Up, Jack",1974,Comedy,UK
Only a Buck,1987,Comedy,USA
Deze kleine wereld (1972) [English v,1972,Documentary,NETHERLANDS
Sezonat na kanarchetata,1993,Drama,BULGARIA
The Man Who Understood Women,1959,Comedy,USA
The Fickle Finger of Fate,1967,Comedy,SPAIN
Georgica,1998,Drama,ESTONIA
The War Game,1963,Short,UK
Doctors Don’t Tell,1941,Drama,USA
Fear of Blushing,2001,Experimental,USA
Mutya ng Pasig,1950,Drama,PHILIPPINES
Stolen Memories: Secrets from the Rose Garden,1996,TV Movie,USA
Touha zvaná Anada,1971,Drama,CZECH
The Wolf Song,1929,Silent,USA
Nebeska udica,2000,Drama,YUGOSLAVIA
Ziveti kao sav normalan svet,1982,Drama,YUGOSLAVIA
Peau de pêche,1929,Silent,FRANCE
Legacy of the Incas (1965) [Engli,1965,Adventure,BULGARIA
Surrender in Paradise,1976,Comedy,AUSTRALIA
Modern Times: The Way of All Flesh,1997,Documentary,UK
I Love N.Y.,1987,Comedy,USA
Running,1976,Experimental,AUSTRALIA
The Trial of the Catonsville Nine,1972,Drama,USA
She’s in the Army Now,1981,TV Movie,USA
Brutal,1980,Experimental,SWEDEN
Kiss The Girls and Make Them Die (1966) [Engli,1966,Action,ITALY
Wakai kizoku-tachi: 13-kaidan no Maki,1975,Action,JAPAN
Yap: How Did You Know We’d Like TV?,1981,Documentary,AUSTRALIA
Lampa cu caciula,2006,Short,ROMANIA
Hellfire,1949,Western,USA
Always in Trouble,1938,Comedy,USA
The Girl Who Came Gift-Wrapped,1974,TV Movie,USA
No President,1967,Camp,USA
Jim’s Gift,1996,Family,UK
The Tutor,2007,Short,USA
Buford’s Beach Bunnies (1993) ,1993,Comedy,USA
Hawkins,2001,Television,UK
Black at Yale: A Film Diary,1974,Documentary,USA
Sanpo suru reikyusha,1964,Thriller,JAPAN
Zuckerbaby (1985) [U,1985,Comedy,WEST
Gratinirani mozak Pupilije Ferkeverk,1970,Experimental,YUGOSLAVIA
The Rat Race,1960,Drama,USA
This Is the Life,1935,Comedy,USA
Faces in the Fog,1944,Drama,USA
Lachenite obuvki na neznayniya voin,1979,Drama,BULGARIA
Living in the World,1985,Experimental,USA
Dans la ville blanche (1983) [U,1983,Drama,PORTUGAL
"Bianco, rosso e Verdone",1981,Comedy,ITALY
Arousi-ye Khouban,1989,Drama,IRAN
"Zeki, Florian and Kelly!",1997,Drama,JAPAN
Khutwa Khutwa,1978,Documentary,SYRIA
Something in Common,1986,TV Movie,USA
W,1974,Thriller,USA
Loose Shoes,1978,Comedy,USA
Kundskabens træ (1981) [U,1981,Drama,DENMARK
Roxie Hart,1942,Comedy,USA
Smoke,1970,Adventure,USA
The Toughest Man Alive,1955,Drama,USA
"Goodbye, New York",1985,Comedy,ISRAEL
Au Pan Coupé (1968) [U,1968,Drama,FRANCE
Un chant d’amour,1950,Erotic,FRANCE
Oggi è primavera,1988,Short,BELGIUM
Lettre a Jean Rouch,1992,Documentary,BELGIUM
Hell’s Crossroads,1957,Western,USA
Lebe!,1978,Animation,EAST
"Szép leányok, ne sírjatok!",1970,Drama,HUNGARY
"70,000 Witnesses",1932,Pre Code,USA
Tarantella,1995,Drama,USA
The New Guy (2002) [Director,2002,Comedy,USA
C’eravamo tanto amati (1974) [U,1974,Comedy,ITALY
Der Philosoph (1989) [U,1989,Drama,WEST
Ice House,1989,Drama,USA
Ashes of Time (1994) [Theatric,1994,Action,HONG
The Last Man to Hang,1956,Drama,UK
Let’s Dance,1950,Comedy,USA
Põrgu,1983,Animation,USSR
Angel on the Amazon (1948) [U,1948,Adventure,USA
No One Man,1932,Pre Code,USA
Homer,1970,Drama,CANADA
Sedmi kontinent,1966,Family,CZECHOSLOVAKIA
The Sandwich,1975,Short,EGYPT
Mixed Double,1970,Experimental,DENMARK
Joe’s Bed-Stuy Barbershop: We Cut Heads,1983,Drama,USA
Maryjane,1968,Drama,USA
Monday After the Miracle,1998,Biography,USA
Big Red,1962,Adventure,USA
Child Under a Leaf,1974,Drama,CANADA
Luger,1981,Cult,NETHERLANDS
Willing to Kill: The Texas Cheerleader Story,1992,TV Movie,USA
See You at the Pillar,1967,Documentary,UK
Squeeze,1997,Drama,USA
Yesterday,1985,Drama,POLAND
Gravity Is My Enemy,1977,Biography,USA
Ride a Violent Mile,1957,Western,USA
Protozoa,1993,Short,USA
Návrat idiota,1999,Comedy,CZECH
No Resting Place,1951,Drama,UK
Hi Diddle Diddle,1943,Comedy,USA
Tobenai chinmoku,1966,Drama,JAPAN
Kisapmata,1981,Drama,PHILIPPINES
Norman and the Killer,1991,Short,USA
Výzva do ticha,1965,Documentary,CZECHOSLOVAKIA
Beyond Reason (1970) [U,1970,Sci-Fi,AUSTRALIA
Eminent Domain,1990,Drama,CANADA
"Sorry, Wrong Number",1989,Thriller,USA
The Tenth Level,1976,TV Movie,USA
Chrystal,2004,Drama,USA
No More Hibakusha!,1983,Documentary,CANADA
V.,1987,Television,UK
Fools’ Parade,1971,Comedy,USA
Isabel,1968,Thriller,CANADA
Double Exposure,1994,Erotic,USA
Putnik drugog razreda,1973,Animation,YUGOSLAVIA
Geraldine,1953,Comedy,USA
Skipalong Rosenbloom,1951,Comedy,USA
Can I Do It… ‘Til I Need Glasses?,1977,Comedy,USA
Hawk’s Vengeance,1996,Action,CANADA
Karla,1965,Drama,EAST
Lapse of Memory,1991,Thriller,CANADA
Giulia e Giulia (1987) [Engli,1987,Fantasy,ITALY
A Invenção do Amor,1965,Short,PORTUGAL
Making Waves,1987,Short,UK
Heart Full of Soul,1990,Drama,USA
I Don’t Buy Kisses Anymore,1992,Comedy,USA
Angst – Die schwache Stunde einer Frau,1928,Silent,GERMANY
Out of It (1969) [U,1969,Comedy,USA
Oisín,1970,Short,IRELAND
Fire Over Africa,1954,Adventure,USA
Storm Over Lisbon (1944) [U,1944,Thriller,USA
Mexicana (1945) [U,1945,Musical,USA
Un zoo la nuit,1987,Thriller,CANADA
The Last Edition,1925,Silent,USA
The Changeling,1993,Theatre,UK
Mr. Reeder in Room 13,1938,Mystery,UK
Pervorossiyanye,1967,Drama,USSR
The Grass is Always Greener Over the Septic Tank,1978,TV Movie,USA
Cleo/Leo,1989,Comedy,USA
Le révolutionnaire,1965,Comedy,CANADA
Recruits,1986,Comedy,USA
The Spirit of Stanford,1942,Drama,USA
The Wetback Hound,1957,Family,USA
The Love Boat: A Valentine Voyage,1990,TV Movie,USA
Wild Cactus (1993) [U,1993,Erotic,USA
Paradox Lake,2002,Drama,POLAND
Out of the Rain,1991,Neo-Noir,USA
Pallet on the Floor,1984,Drama,NEW
Possum Paddock,1921,Silent,AUSTRALIA
Tabloid,1989,Comedy,USA
La valigia dei sogni,1953,Comedy,ITALY
Photographing Fairies,1997,Fantasy,UK
Imagining Ulysses,2004,Documentary,IRELAND
Tabu,1982,Experimental,BRAZIL
Il cuore rivelatore,1934,Horror,ITALY
Still Kicking: The Fabulous Palm Springs Follies,1997,Documentary,USA
Man from Tangier,1957,Thriller,UK
Liu lian piao piao,2000,Drama,CHINA
Apenas un Delincuente,1949,Film Noir,ARGENTINA
The Displaced Person,1977,TV Movie,USA
De dødes tjern,1958,Horror,NORWAY
Young Americans,1967,Documentary,USA
Lust och fägring stor,1995,Drama,DENMARK
Die Frau nach der man sich sehnt,1929,Silent,GERMANY
Privarzaniyat balon,1967,Comedy,BULGARIA
December Bride,1990,Drama,IRELAND
Stützen der Gesellschaft,1935,Drama,GERMANY
Zenshin Shosetsuka,1994,Documentary,JAPAN
Sonatine,1984,Drama,CANADA
Le conseguenze dell’amore,2004,Thriller,ITALY
Brennendes Geheimnis,1933,Drama,AUSTRIA
She’s a Soldier Too,1944,Drama,USA
Sunshine Susie,1931,Musical,UK
L’accident,1963,Drama,FRANCE
Ombre,1980,Giallo,ITALY
My Son is a Criminal,1939,Drama,USA
Pekin no suika,1989,Drama,JAPAN
"Kare no ootobai, kanojo no shima",1986,Drama,JAPAN
Nerawareta gakuen,1981,Fantasy,JAPAN
Rush It,1978,Comedy,USA
Solly’s Diner,1980,Short,USA
Kalla khrung nueng… muea chao nee,1994,Drama,THAILAND
Beijing de feng hen da,2000,Documentary,CHINA
Hush-a-Bye Baby,1990,Drama,UK
Lifelines,1960,Experimental,USA
Escape from El Diablo,1983,Action,SPAIN
The Invasion of Thunderbolt Pagoda,1968,Experimental,USA
Ambush,1939,Drama,USA
Dog Days,2001,Sci-Fi,USA
The Wedding March (1928) [Gaylord Carter,1928,Silent,USA
Goodnight Sweetheart,1944,Comedy,USA
Streets of San Francisco,1949,Drama,USA
Two Blondes and a Redhead,1947,Comedy,USA
The Westward Trail,1948,Western,USA
El haram,1965,Drama,EGYPT
The Last Winter,1983,Drama,ISRAEL
El Super,1979,Comedy,USA
Fighting Back: The Story of Rocky Bleier,1980,Biography,USA
The Bofors Gun,1968,Drama,UK
La Sonate à Kreutzer,1956,Drama,FRANCE
Bérénice,1954,Short,FRANCE
Acts of Betrayal,1997,Action,USA
King Lear,1998,Theatre,UK
Singleton’s Pluck,1984,Comedy,UK
Carlos contra el mundo,2002,Comedy,SPAIN
Silk & Steel,2001,Action,JAPAN
Kyôsô jôshi-kô,1969,Drama,JAPAN
Captain Eddie,1945,Biography,USA
The Blonde from Singapore,1941,Adventure,USA
Stork Bites Man,1947,Comedy,USA
Der Tunnel,1915,Sci-Fi,GERMANY
En rade,1927,Silent,FRANCE
Paparazzi,1964,Documentary,FRANCE
Liliom,1930,Drama,USA
Die Beischlafdiebin,1998,Drama,GERMANY
El regalo de Silvia,2003,Drama,CHILE
Le grain de sable,1983,Comedy,FRANCE
A Child’s Garden and the Serious Sea,1991,Experimental,USA
Danilo Treles: O fimismenos andalousianos mousikos,1986,Fantasy,GREECE
Missile Monsters,1958,Sci-Fi,USA
Smuggled Cargo,1939,Drama,USA
Paid to Dance,1937,Drama,USA
The Golden Lady,1979,Action,HONG
Silver Queen,1942,Adventure,USA
Meet Me At Dawn,1947,Adventure,UK
Two Yanks in Trinidad,1942,Adventure,USA
Kaddu beykat,1976,Drama,SENEGAL
Il Presidente del Borgorosso Football Club,1970,Comedy,ITALY
Maléfices,1962,Film Noir,FRANCE
Grazuole,1969,Drama,USSR
Arizona Bushwhackers,1968,Western,USA
The Hour of the Pig,1993,Mystery,FRANCE
Ride the High Iron,1956,Drama,USA
Calypso Heat Wave,1957,Musical,USA
Chakra,1972,Experimental,USA
Moetsukita chizu,1968,Mystery,JAPAN
Sept jours ailleurs,1969,Drama,FRANCE
Kôge,1964,Drama,JAPAN
Nice Girls Don’t Explode,1987,Comedy,USA
Psy,1989,Horror,USSR
"Vtáckovia, siroty a blázni",1969,Comedy,CZECHOSLOVAKIA
South of Reno,1988,Drama,USA
Byalata staya,1968,Drama,BULGARIA
Broken Highway,1993,Drama,AUSTRALIA
Hiroshima – framför oss?,1980,Documentary,SWEDEN
Kumbha Mela,1989,Documentary,INDIA
Food,1972,Documentary,USA
Wien retour,1983,Documentary,AUSTRIA
Las aguas bajan turbias,1952,Drama,ARGENTINA
The Taming of the West,1939,Western,USA
Grand Isle,1991,Drama,USA
Revenge of the Middle Aged Woman,2004,TV Movie,USA
Afrique 50,1950,Documentary,FRANCE
Feng er ti ta cai,1981,Drama,TAIWAN
I Want to Go Home,1989,Comedy,FRANCE
Archangel,1990,Comedy,CANADA
Quilombo,1984,Drama,BRAZIL
Fuckland,2000,Comedy,ARGENTINA
Two,1964,Short,INDIA
Road Demon,1938,Drama,USA
Zoo in Budapest,1933,Pre Code,USA
Forbidden Music,1936,Musical,UK
Zhelanie posmotret film Raynera Vernera Fassbindera,1993,Short,RUSSIA
De boezemvriend,1982,Comedy,NETHERLANDS
An Eye for an Eye,1966,Western,USA
A Brand New Life,1973,TV Movie,USA
Paris by Night,1988,Thriller,CANADA
The Jesus Trip,1971,Drama,USA
Clepsydra,1992,Experimental,USA
Evening in Byzantium,1978,Mini-Series,USA
Sticks and Bones,1973,Theatre,USA
Unspeakable Acts,1990,TV Movie,USA
Long min,1992,Drama,HONG
Down Missouri Way,1946,Comedy,USA
Gangs of the Waterfront,1945,Drama,USA
Bowery Boy,1940,Drama,USA
Hors la vie,1991,Drama,BELGIUM
Bombshell,1997,Sci-Fi,USA
Jumpin’ at the Boneyard,1992,Drama,USA
White Hot,1988,Drama,USA
The Murder of Stephen Lawrence,1999,Drama,UK
Omega Diary,1999,Sci-Fi,USA
Luna,1965,Documentary,USSR
If You Stand with Your Back to the Slowing of the Speed of Light in Water,1997,Experimental,USA
Marvin & Tige,1983,Drama,USA
Lacrima Christi,1980,Experimental,FRANCE
Anino,2000,Short,PHILIPPINES
Za sciana,1971,Drama,POLAND
A Place Called Today,1972,Blaxploitation,USA
Black Girl,1972,Blaxploitation,USA
The Secret of Marcel Duchamp,1997,Documentary,UK
Hiss and Yell,1946,Short,USA
Black Devil Doll from Hell (1984) [Extended V,1984,Blaxploitation,USA
Hollywood Mavericks,1990,Documentary,JAPAN
Grim Prairie Tales,1990,Horror,USA
Sudden Death,1985,Exploitation,USA
Firesign Theatre Presents ‘Hot Shorts’,1983,Comedy,USA
"Like Father, Like Daughter",1981,Adventure,CANADA
Le prix du danger,1983,Sci-Fi,FRANCE
Rozmowa z czlowiekiem z szafy,1993,Drama,POLAND
Not Another Mistake,1988,Action,PHILIPPINES
Spaghetti House (1982) [Engli,1982,Comedy,ITALY
Les filles ne savent pas nager,2000,Drama,FRANCE
La pacifista – Smetti di piovere,1970,Drama,FRANCE
Porte des Lilas,1957,Comedy,FRANCE
Wooryung gakshi,2002,Experimental,SOUTH
Adanggaman,2000,Drama,BURKINA
The Gift,1979,TV Movie,USA
La table tournante,1988,Animation,FRANCE
The Flying Missile,1950,Drama,USA
Le Horla,1966,Mystery,FRANCE
Muriel fait le désespoir de ses par,1995,Drama,FRANCE
Otra vuelta de tuerca,1985,Horror,SPAIN
Come mi vuoi,1997,Comedy,FRANCE
The Baby Dance,1998,TV Movie,USA
La muralla verde,1969,Drama,PERU
Lista de espera,2000,Comedy,CUBA
Tabaki,2002,Documentary,IRAN
The Wandering Jew,1933,Fantasy,UK
Death of a Salesman,1966,Theatre,USA
Een vlucht regenwulpen,1981,Comedy,NETHERLANDS
Satin Rouge,2002,Drama,EGYPT
Madron,1970,Western,ISRAEL
"Mai 68, la belle ouvrage",1969,Documentary,FRANCE
Sunburn,1999,Comedy,USA
Mississipi One,1991,Drama,FRANCE
"When You Comin’ Back, Red Ryder?",1979,Drama,USA
Yun de nan fang,2004,Drama,CHINA
Submarine Command,1951,War,USA
$1000 a Minute (1935) [U,1935,Comedy,USA
On connaît la chanson (1997) [U,1997,Comedy,FRANCE
Yuki no dansho – jonetsu,1985,Drama,JAPAN
La diagonale du fou,1984,Drama,FRANCE
Andy Warhol’s Bad,1977,Cult,USA
Jezioro Bodenskie,1986,Drama,POLAND
The Funeral,1996,Drama,USA
Strong Medicine,1986,TV Movie,USA
Thunderbolt,1929,Pre Code,USA
Das Bekenntnis der Ina Kahr,1954,Drama,WEST
The Secret Life of Sergei Eisenstein,1987,Biography,SWITZERLAND
Attorney for the Defense,1932,Pre Code,USA
Le grand chef,1959,Comedy,FRANCE
X2000,1998,Short,FRANCE
Static,1985,Comedy,USA
La sua giornata di gloria,1969,Drama,ITALY
Vénus beauté (institut),1999,Drama,FRANCE
Stolen Children,1994,Documentary,UK
When No One Would Listen,1992,TV Movie,USA
Manhunt for Claude Dallas,1986,TV Movie,USA
Jesus vender tilbage,1992,Comedy,DENMARK
The Stranger Within,1990,Thriller,USA
The Chinese Caper,1975,Drama,USA
Japanese War Bride,1952,Drama,USA
False Colors,1943,Western,USA
Crunch,1981,Comedy,CANADA
Il giorno della prima di close up,1996,Short,ITALY
Los onas: Vida y muerte en Tierra del Fuego,1977,Documentary,ARGENTINA
…and millions will die!,1973,Thriller,AUSTRALIA
Por la libre,2000,Drama,MEXICO
Yol,1982,Drama,FRANCE
Vivre ensemble,1973,Drama,FRANCE
Radiofreccia,1998,Drama,ITALY
Bu su,1987,Drama,JAPAN
Yurîka (2000) [U,2000,Drama,JAPAN
La question ordinaire,1969,Short,FRANCE
Tisine,1972,Short,YUGOSLAVIA
Die Reise nach Tilsit,1939,Drama,GERMANY
The Big Mouth (1967) [U,1967,Comedy,USA
Topos,1985,Experimental,GREECE
Bells,1982,Thriller,CANADA
L’Appat,1995,Drama,FRANCE
Plaza Suite,1971,Comedy,USA
Heldenplatz,1989,Theatre,AUSTRIA
Les autres,1974,Drama,FRANCE
The Gentleman from California,1937,Western,USA
Soy leyenda,1967,Horror,SPAIN
Under Fire,1957,Drama,USA
Coming Out of the Ice,1982,Biography,USA
Tifusari,1963,Animation,YUGOSLAVIA
Porte aperte,1990,Drama,ITALY
El Pasajero de la Noche,1989,Animation,COLOMBIA
L’uomo delle stelle,1995,Drama,ITALY
Secret of Deep Harbor,1961,Drama,USA
Five Minutes to Live,1961,Neo-Noir,USA
The Royal Hunt of the Sun,1969,Adventure,UK
Le lit,1982,Drama,BELGIUM
Canone Inverso – Making Love,2000,Drama,ITALY
Love Me Forever,1935,Drama,USA
Il giorno prima (1987) [Engli,1987,Thriller,CANADA
So You Won’t Talk?,1940,Comedy,USA
Enter Laughing,1967,Comedy,USA
La cabina,1973,Short,ITALY
Stella,1950,Comedy,USA
Honor Thy Father,1973,TV Movie,USA
The Young Runaways,1968,Drama,USA
"Metti, una sera a cena",1969,Drama,ITALY
Vergogna schifosi,1969,Thriller,ITALY
The Old Man Who Cried Wolf,1970,Thriller,USA
That’s My Boy,1932,Pre Code,USA
Les voleurs de la nuit (1984) [Engli,1984,Neo-Noir,FRANCE
Stanno tutti bene,1990,Drama,ITALY
Players,1979,Drama,USA
Angels with Broken Wings,1941,Comedy,USA
Golden Harvest,1933,Pre Code,USA
Proshu slova,1976,Drama,USSR
Happy Day,1976,Drama,GREECE
Vali: The Witch of Positano,1965,Documentary,USA
Výlet,2002,Comedy,CZECH
Crystal Voyager,1973,Documentary,USA
Vilniaus getas,2005,War,GERMANY
La pirate,1984,Drama,FRANCE
Death of a Salesman,2000,Theatre,USA
Salto nel vuoto (1980) [U,1980,Drama,FRANCE
The Limbo Line,1968,Thriller,UK
Zastihla mě noc,1986,Biography,CZECHOSLOVAKIA
La captive du désert,1990,Drama,FRANCE
State Buoni Se Potete (1983) [Extended V,1983,Drama,ITALY
Der Ruf,1949,Drama,GERMANY
Morning’s at Seven,1982,Theatre,USA
The Texan,1930,Western,USA
Teenage Mother,1967,Exploitation,USA
Africa,1999,Drama,SOUTH
The Devil’s Hairpin,1957,Drama,USA
Gaiety Girls,1937,Comedy,UK
Acción mutante,1993,Comedy,SPAIN
Izumi,1956,Drama,JAPAN
Tinnsoldatene,2004,Documentary,NORWAY
Once to Every Woman,1934,Pre Code,USA
Scotland Yard Investigator,1945,Mystery,USA
The Reason Why,1970,Short,USA
Victor,1998,Family,SWEDEN
Remember Pearl Harbor,1942,Drama,USA
Murder Can Hurt You!,1980,Comedy,USA
Personal Foul,1987,Drama,USA
Al Habil,1984,Short,SUDAN
"Swing High, Swing Low",1937,Comedy,USA
The Day the Ponies Come Back,2000,Drama,FRANCE
Born Again,1978,Biography,USA
The Pigeon,1969,TV Movie,USA
Genji monogatari,1951,Drama,JAPAN
The Wrong Address,1995,Short,UK
Story of G.I. Joe,1945,War,USA
Praznik,1967,War,YUGOSLAVIA
Lavoura Arcaica,2001,Drama,BRAZIL
The Desperate Ones,1967,Adventure,SPAIN
Four Girls in Town,1957,Drama,USA
Dead Women in Lingerie,1991,Drama,USA
Petrolejové lampy,1971,Drama,CZECHOSLOVAKIA
Pourquoi Israël,1973,Documentary,FRANCE
La mortadella (1971) [Engli,1971,Comedy,FRANCE
S:TREAM:S:S:ECTION:S:ECTION:S:S:ECTIONED,1971,Experimental,USA
No Frank in Lumberton,1988,Documentary,WEST
Hell Bento: Uncovering the Japanese Underground,1995,Documentary,AUSTRALIA
Together?,1979,Drama,ITALY
Kapone oi ni naku,1985,Action,JAPAN
You Were Never Lovelier,1942,Musical,USA
Inquietude,1998,Drama,FRANCE
Vale Abraão (1993) [Director,1993,Drama,FRANCE
Wer fürchtet sich vorm schwarzen Mann,1988,Documentary,EAST
Pähkähullu Suomi,1967,Comedy,FINLAND
The Bachelor’s Daughter,1946,Comedy,USA
The Man Upstairs,1992,TV Movie,USA
Parallel Lives,1994,TV Movie,USA
Clearcut,1991,Thriller,CANADA
The Daring Young Man,1942,Comedy,USA
Music in the Air,1934,Comedy,USA
Ta skalopatia,1966,Drama,GREECE
The Right to Remain Silent,1996,TV Movie,USA
Sabbat,1991,Animation,SWITZERLAND
Black Eagle,1948,Western,USA
Taiyô wo nusunda otoko,1979,Action,JAPAN
Hi wa mata noboru,2002,Drama,JAPAN
L’arcano incantatore,1996,Horror,ITALY
Den-en ni shisu,1974,Drama,JAPAN
Ekstase,1933,Drama,AUSTRIA
Qivitoq,1956,Drama,DENMARK
Fukai kawa,1995,Drama,JAPAN
Violette Nozière,1978,Drama,FRANCE
Cronica de un Niño Solo,1965,Drama,ARGENTINA
H2S,1969,Cult,ITALY
Schindler: The Documentary,1983,Documentary,UK
The Plants are Watching,1979,Thriller,USA
Medea,1982,Experimental,NETHERLANDS
Riding High,1943,Comedy,USA
La ville des pirates,1983,Fantasy,FRANCE
I lifvets vår,1912,Silent,SWEDEN
Marquis,1989,Animation,FRANCE
L’amant de lady Chatterley,1955,Drama,FRANCE
"King, Queen, Knave",1972,Comedy,USA
Cartas del parque,1988,Drama,CUBA
Warrior Queen (1987) [U,1987,Exploitation,USA
Angel Flight Down,1996,TV Movie,USA
Veneno para las hadas,1984,Fantasy,MEXICO
Paní Le Murie,1993,Documentary,CZECH
Nienormalni,1990,Drama,POLAND
Private Lessons: Another Story,1994,Erotic,USA
Sharma and Beyond,1984,TV Movie,UK
The Vanquished,1953,Western,USA
Song of Old Wyoming,1945,Western,USA
Shinobugawa,1972,Drama,JAPAN
I Love a Soldier,1944,Drama,USA
Violet,1981,Short,CANADA
Chungyo,1972,Horror,SOUTH
Les innocents,1987,Drama,FRANCE
A Soldier’s Daughter Never Cries,1998,Drama,FRANCE
Zoku Abashiri bangaichi,1965,Action,JAPAN
Qing chun ji,1986,Drama,CHINA
Ghost Dance,1983,Drama,UK
Le moine et la sorcière,1987,Drama,FRANCE
Music of the Spheres,1984,Sci-Fi,CANADA
"Djeli, conte d’aujourd’hui",1981,Drama,COTE
Travelling North,1987,Comedy,AUSTRALIA
Désordre,1986,Drama,FRANCE
Shéhérazade,1963,Adventure,ITALY
Yang guang can lan de ri zi (1994) [U,1994,Drama,CHINA
Witness to Apartheid,1986,Documentary,USA
The African Elephant,1971,Documentary,USA
Terror in the Wax Museum,1973,Horror,USA
Cadaveri eccellenti,1976,Politics,FRANCE
The Fool Killer,1965,Adventure,MEXICO
Day-O,1992,Comedy,USA
Kekkon,1947,Drama,JAPAN
Mord und Totschlag,1967,Drama,WEST
Impasse des deux anges,1948,Drama,FRANCE
Pirosmani,1969,Biography,GEORGIA
La fuga di Socrate,1923,Silent,ITALY
"Hey, Let’s Twist",1961,Musical,USA
A,1998,Documentary,JAPAN
Deus e o Diabo na Terra do Sol,1964,Western,BRAZIL
To kouti,2004,Short,GREECE
Broken Meat,1991,Documentary,USA
Gang Cops,1987,Documentary,USA
Bomber’s Moon,1943,Drama,USA
Les violons du bal (1974) [U,1974,Biography,FRANCE
Le demenagement,1993,Television,FRANCE
Fata/Morgana,1965,Giallo,SPAIN
Non c’è pace tra gli ulivi,1950,Drama,ITALY
Harem Suare,1999,Drama,FRANCE
With Words and Music,1937,Comedy,USA
Alone,1997,Drama,USA
Prison Stories: Women on the Inside,1991,Drama,USA
Hamsun,1996,Biography,DENMARK
Oviri,1986,Biography,DENMARK
Una vita scellerata (1990) [Engli,1990,Biography,ITALY
"Red King, White Knight",1989,Thriller,
Bara en mor,1949,Drama,SWEDEN
Hiroshima: Out of the Ashes,1990,TV Movie,USA
Cuore di cane,1976,Comedy,ITALY
Samson and Delilah,1984,Adventure,USA
Fritänkaren,1994,Biography,SWEDEN
Quarantined,1970,TV Movie,USA
The Mark,1961,Drama,UK
Il diavolo,1963,Comedy,ITALY
Ernie Kovacs: Between the Laughter,1984,Biography,USA
A Separate Peace,1972,Drama,USA
L’ordre,1973,Documentary,FRANCE
Leo and Loree,1980,Comedy,USA
The Incredible Sarah,1976,Biography,UK
L’ange et la femme,1977,Fantasy,CANADA
Gli ultimi cinque minuti,1955,Comedy,ITALY
Afro Promo,1997,Documentary,USA
Hold Me While I’m Naked,1966,Experimental,USA
A Memory of Two Mondays,1971,Television,USA
Waga koi no tabiji,1961,Drama,JAPAN
Dotsuitarunen,1989,Drama,JAPAN
Lip Service,1988,Comedy,USA
The Last Chase,1981,Sci-Fi,CANADA
The Undergrads,1985,TV Movie,CANADA
Kolja (1996) [Director,1996,Drama,CZECH
Down in San Diego,1941,Comedy,USA
Sacred Hearts,1985,Drama,UK
La giornata balorda (1960,1960,Drama,ITALY
Zan Boko,1988,Drama,BURKINA
Voyage of Terror: The Achille Lauro Affair (1990) [U,1990,TV Movie,FRANCE
Banning,1967,Drama,USA
François Truffaut: Portraits volés,1993,Documentary,FRANCE
Namida o shishi no tategami ni,1962,Drama,JAPAN
Yasha-ga-ike,1979,Fantasy,JAPAN
Mix-Up ou Meli-melo,1985,Documentary,FRANCE
Meoto zenzai,1955,Drama,JAPAN
Mondo Teeno,1967,Documentary,ITALY
Getting Straight,1970,Comedy,USA
Happy New Year,1987,Comedy,USA
Requiem dla 500 tysiecy,1963,Documentary,POLAND
Chopper Chicks in Zombietown,1989,Horror,USA
Il disordine,1962,Drama,ITALY
Madagascar,1995,Drama,CUBA
Die Unbekannte,1936,Drama,GERMANY
Zoku otoko wa tsurai yo,1969,Comedy,JAPAN
Otoko wa tsurai yo,1969,Comedy,JAPAN
So This Is Love,1928,Silent,USA
The Phantom Planet (1961) [Col,1961,Sci-Fi,USA
Dingaka,1964,Drama,SOUTH
TC 2000,1993,Action,CANADA
Invader,1996,Sci-Fi,USA
Strangulation Blues,1980,Short,FRANCE
Traumnovelle,1969,Drama,AUSTRIA
Jób lázadása,1983,Drama,HUNGARY
The Women of Pitcairn Island,1956,Adventure,USA
Exorcismo Negro (1974) ,1974,Horror,BRAZIL
La caza,1966,Drama,SPAIN
El nido,1980,Drama,SPAIN
